incident_state	date	transportation	serious_incident	latitude	longitude
MI	1989-02-14	F	0	42.9633599	-85.6680863
PA	1989-02-15	H	0	39.9625984	-76.727745
NV	1989-02-16	H	0	39.5349112	-119.7526886
OH	1989-02-17	H	0	39.9611755	-82.9987942
IL	1989-02-17	H	0	41.7014217	-87.7792196
NM	1989-02-20	H	0	35.0853336	-106.6055534
IL	1989-03-07	H	0	41.7641723	-87.7812524
AL	1989-03-17	H	0	33.5206608	-86.80249
IL	1989-03-21	H	0	41.7641723	-87.7812524
GA	1989-03-25	R	0	33.7489954	-84.3879824
OH	1989-03-27	H	0	41.3450547	-81.528452
NV	1989-03-28	H	0	39.5349112	-119.7526886
MI	1989-03-31	H	0	42.245869	-84.4013462
MN	1989-04-01	H	0	44.9537029	-93.0899578
IL	1989-04-04	H	0	41.7641723	-87.7812524
IL	1989-04-06	H	0	41.931696	-87.9889556
IL	1989-04-12	H	0	41.7641723	-87.7812524
CO	1989-04-15	H	0	39.7392358	-104.990251
IL	1989-04-18	H	0	41.931696	-87.9889556
CA	1989-04-18	H	0	38.5804609	-121.530234
WI	1989-04-18	H	0	43.1633426	-87.9645321
PA	1989-04-19	H	0	39.9625984	-76.727745
TX	1989-04-25	H	0	29.7604267	-95.3698028
OH	1989-04-27	H	0	39.9611755	-82.9987942
IL	1989-05-08	H	0	41.7641723	-87.7812524
PA	1989-05-09	H	0	39.9625984	-76.727745
CO	1989-05-11	H	0	39.7392358	-104.990251
GA	1989-05-12	H	0	33.7489954	-84.3879824
IA	1989-05-12	H	0	41.9778795	-91.6656232
IL	1989-05-17	H	0	41.7641723	-87.7812524
WI	1989-05-17	H	0	43.1633426	-87.9645321
CT	1989-05-19	H	0	41.8489872	-72.5717551
CA	1989-05-22	H	0	38.5804609	-121.530234
AL	1989-05-26	H	0	33.5206608	-86.80249
AR	1989-05-31	R	0	34.2284312	-92.0031955
IL	1989-06-01	H	0	41.7641723	-87.7812524
WA	1989-06-01	R	0	47.2031566	-122.2403966
CA	1989-06-03	H	0	37.7974273	-121.2160526
MI	1989-06-05	H	0	42.2917069	-85.5872286
CA	1989-06-05	H	0	38.049365	-122.1585777
IL	1989-06-06	H	0	41.7641723	-87.7812524
PA	1989-06-07	H	0	39.9625984	-76.727745
MN	1989-06-09	H	0	44.8041322	-93.1668858
IA	1989-06-14	H	0	42.4999942	-96.4003069
PA	1989-06-15	H	0	39.9625984	-76.727745
PA	1989-06-16	H	0	39.9625984	-76.727745
TN	1989-06-22	H	0	35.9606384	-83.9207392
IL	1989-06-22	H	0	38.4954133	-88.4210006
IL	1989-06-22	H	0	41.7641723	-87.7812524
CA	1989-06-23	F	0	34.0522342	-118.2436849
PA	1989-06-23	H	0	40.9867609	-75.1946248
IL	1989-06-30	H	0	41.7641723	-87.7812524
WA	1989-07-07	H	0	47.6062095	-122.3320708
IL	1989-07-10	H	0	41.7641723	-87.7812524
WA	1989-07-12	H	0	47.6062095	-122.3320708
TX	1989-07-13	H	0	32.7766642	-96.7969879
